time,value,saliency,score,is_anomaly,label
2026-06-11 23:46:42,0.0086253610629694,,,0,0
2026-06-11 23:46:57,0.0090719964858335,,,0,0
2026-06-11 23:47:12,0.0072278166456759,,,0,0
2026-06-11 23:47:27,0.0094195924155439,,,0,0
2026-06-11 23:47:42,0.0097188973041681,,,0,0
2026-06-11 23:47:57,0.0069986432692523,,,0,0
2026-06-11 23:48:12,0.0088605962410887,,,0,0
2026-06-11 23:48:27,0.0080811224388401,0.015933863638507226,-0.953143739558759,0,0
2026-06-11 23:48:42,0.0089217510203236,0.0358652769013598,-0.871859677134102,0,0
2026-06-11 23:48:57,0.009200729322062,0.5745741601437608,0.6751902387177166,0,0
2026-06-11 23:49:12,0.0072435157951722,0.09213787976882667,-0.6964706617160064,0,0
2026-06-11 23:49:27,0.0087511977454204,0.0390953045383212,-0.8777860828195911,0,0
2026-06-11 23:49:42,0.0100064953575501,0.032521626881703895,-0.8618528637208196,0,0
2026-06-11 23:49:57,0.007900999837287,0.13801617481080874,-0.4798009957419938,0,0
2026-06-11 23:50:12,0.0083046208067443,0.27684433796485564,0.06260002690429804,0,0
2026-06-11 23:50:27,0.0103297391778085,0.04102757046660157,-0.8205778848827207,0,0
2026-06-11 23:50:42,0.0098890497385592,0.022738977540484893,-0.8930892968106419,0,0
2026-06-11 23:50:57,0.0055559967746441,0.16434870775044155,-0.05125369191458775,0,0
2026-06-11 23:51:12,0.0093190791535233,0.00675349768758641,-0.9652004824256596,0,0
2026-06-11 23:51:27,0.0096498293716169,0.05965117705353813,-0.6466910576724537,0,0
2026-06-11 23:51:42,0.0100797893775354,0.05307316691396254,-0.6732489148904309,0,0
2026-06-11 23:51:57,0.0088845062932102,0.34657021968730145,0.4038714107688971,0,0
2026-06-11 23:52:12,0.0094769786153515,0.06917060247664857,-0.6479687410350752,0,0
2026-06-11 23:52:27,0.0094567019035807,0.07287516404857403,-0.6224018660639548,0,0
2026-06-11 23:52:42,0.0097139824480775,0.026526536846591953,-0.8125179670273756,0,0
2026-06-11 23:52:57,0.009076482162717,0.1655629530656686,-0.12234314749521848,0,0
2026-06-11 23:53:12,0.0087148034511871,0.058664365206456466,-0.6791787106518257,0,0
2026-06-11 23:53:27,0.0086342663337184,0.005905303019270594,-0.965313985233833,0,0
2026-06-11 23:53:42,0.008723810535259,0.10296376157289108,-0.4085146780321355,0,0
2026-06-11 23:53:57,0.0092073556947686,0.0193581064301282,-0.8787800902205465,0,0
2026-06-11 23:54:12,0.0093694770229401,0.09869743373196184,-0.3499607130034898,0,0
2026-06-11 23:54:27,0.0092891026104564,0.15705804378746124,-0.04667967286402013,0,0
2026-06-11 23:54:42,0.0087546312744252,0.09662221331187357,-0.37810452832760294,0,0
2026-06-11 23:54:57,0.0077618091893054,0.03395643591724103,-0.7499533448943279,0,0
2026-06-11 23:55:12,0.0085444697833522,0.08602711496319192,-0.45044231578620647,0,0
2026-06-11 23:55:27,0.0087029153924567,0.0015878179065111726,-0.9900297432161055,0,0
2026-06-11 23:55:42,0.009162890215461,0.1072230401313968,-0.3559616689074176,0,0
2026-06-11 23:55:57,0.0096057006564964,0.2325972448601322,0.38136175413436113,0,0
2026-06-11 23:56:12,0.0098750989495303,0.11034277887613086,-0.2227974829723906,0,0
