"unix_time","time_utc","time_local","label","frontend_cpu","frontend_memory","productcatalogservice_cpu","productcatalogservice_memory","cartservice_cpu","cartservice_memory","checkoutservice_cpu","checkoutservice_memory","redis_cart_cpu","redis_cart_memory","paymentservice_cpu","paymentservice_memory","currencyservice_cpu","currencyservice_memory","shippingservice_cpu","shippingservice_memory"
"1781206714","2026-06-11 19:38:34","2026-06-12 03:38:34","0","0.00957849553589492","23998464","0.00378079502688176","12800000","0.00569992725950177","63184896","0.000865215761330693","12734464","0.00190924989070013","7491584","0.000397076345787909","129695744","0.00590764089997759","42442752","0.000872922897972746","10645504"
"1781206729","2026-06-11 19:38:49","2026-06-12 03:38:49","0","0.00740867448924981","23998464","0.00382338738056174","12836864","0.00582203437482414","63172608","0.000508435833998395","12734464","0.00175926487798533","7491584","0.0003572975900352","129253376","0.00466457075487524","42442752","0.000679954277749197","10645504"
"1781206744","2026-06-11 19:39:04","2026-06-12 03:39:04","0","0.010289361585181","24219648","0.00385894141974715","12836864","0.00577817520581892","63176704","0.000522524587908957","12738560","0.0017499805508014","7491584","0.00043729969594872","129425408","0.00610784231787148","42086400","0.000855974831263371","10723328"
"1781206759","2026-06-11 19:39:19","2026-06-12 03:39:19","0","0.0094468276624747","24055808","0.0032482985744401","12636160","0.00542999739888116","63176704","0.000482449990652459","12738560","0.00170208347441381","7491584","0.000413389800754846","129638400","0.00569494373812658","42496000","0.000806207404678598","10727424"
"1781206774","2026-06-11 19:39:34","2026-06-12 03:39:34","0","0.00887285432173834","24170496","0.00420860038023552","12419072","0.00535544067582914","63188992","0.000640918947430115","12582912","0.00133582223589981","7491584","0.000414773894583088","129847296","0.00425355430470204","42868736","0.000790436157996234","10473472"
"1781206789","2026-06-11 19:39:49","2026-06-12 03:39:49","0","0.00616999804420514","24170496","0.00354009171806229","12513280","0.00516690942954709","63180800","0.000812821493857077","12587008","0.00175516976702174","7491584","0.000375160676641463","130031616","0.00523158128456678","42721280","0.000733611738149015","10473472"
"1781206804","2026-06-11 19:40:04","2026-06-12 03:40:04","0","0.00858322242827436","23924736","0.00389186436029537","12673024","0.00327444999999997","63180800","0.000768550034036754","12587008","0.00176617552850734","7491584","0.000392728455610072","130281472","0.00484003840802661","43249664","0.00074574152211281","10473472"
"1781206819","2026-06-11 19:40:19","2026-06-12 03:40:19","0","0.00769670440760183","24010752","0.00266789162907751","12673024","0.00406673222573022","63107072","0.000548013141099389","12587008","0.00116607500000008","7491584","0.000380459075013786","129703936","0.00425728854462634","42889216","0.00058921880973621","10473472"
"1781206834","2026-06-11 19:40:34","2026-06-12 03:40:34","0","0.00760564703426422","24100864","0.00340658983931185","12517376","0.00312541401844065","63107072","0.000390759577906618","12619776","0.00177393437995361","7491584","0.000250458405131167","129703936","0.00434740514811222","42561536","0.000583847434965147","10489856"
"1781206849","2026-06-11 19:40:49","2026-06-12 03:40:49","0","0.00760564703426422","24100864","0.0038195083044009","12726272","0.00272033744921814","63328256","0.000391392419113129","12619776","0.00177334033613437","7233536","0.000342432474792332","130064384","0.00486197321136877","43548672","0.000662706951824704","10489856"
