"time_utc","time_local","value","metric"
"2026-06-11 15:24:44","2026-06-11 23:24:44","0.583411121482867",""
"2026-06-11 15:24:59","2026-06-11 23:24:59","0.704119725351642",""
"2026-06-11 15:25:14","2026-06-11 23:25:14","0.543786252416827",""
"2026-06-11 15:25:29","2026-06-11 23:25:29","0.775000000000001",""
"2026-06-11 15:25:44","2026-06-11 23:25:44","0.512568342445659",""
"2026-06-11 15:25:59","2026-06-11 23:25:59","0.489583333333333",""
"2026-06-11 15:26:14","2026-06-11 23:26:14","0.477115141009403",""
"2026-06-11 15:26:29","2026-06-11 23:26:29","0.506249999999996",""
"2026-06-11 15:26:44","2026-06-11 23:26:44","0.420889451926925",""
"2026-06-11 15:26:59","2026-06-11 23:26:59","0.474968335444305",""
"2026-06-11 15:27:14","2026-06-11 23:27:14","0.500100020003998",""
"2026-06-11 15:27:29","2026-06-11 23:27:29","0.7",""
"2026-06-11 15:27:44","2026-06-11 23:27:44","0.558370558037206",""
"2026-06-11 15:27:59","2026-06-11 23:27:59","0.454166666666664",""
"2026-06-11 15:28:14","2026-06-11 23:28:14","0.522951530102007",""
"2026-06-11 15:28:29","2026-06-11 23:28:29","0.477083333333332",""
"2026-06-11 15:28:44","2026-06-11 23:28:44","0.550073343112418",""
"2026-06-11 15:28:59","2026-06-11 23:28:59","0.624999999999999",""
"2026-06-11 15:29:14","2026-06-11 23:29:14","0.533368891259411",""
"2026-06-11 15:29:29","2026-06-11 23:29:29","0.445833333333337",""
"2026-06-11 15:29:44","2026-06-11 23:29:44","0.447976396852917",""
"2026-06-11 15:29:59","2026-06-11 23:29:59","0.518749999999997",""
"2026-06-11 15:30:14","2026-06-11 23:30:14","0.558370558037203",""
"2026-06-11 15:30:29","2026-06-11 23:30:29","0.77083333333333",""
"2026-06-11 15:30:44","2026-06-11 23:30:44","0.460447363157547",""
"2026-06-11 15:30:59","2026-06-11 23:30:59","0.441666666666667",""
"2026-06-11 15:31:14","2026-06-11 23:31:14","0.550073343112414",""
"2026-06-11 15:31:29","2026-06-11 23:31:29","0.591666666666668",""
"2026-06-11 15:31:44","2026-06-11 23:31:44","0.529201946796451",""
"2026-06-11 15:31:59","2026-06-11 23:31:59","0.456250000000001",""
"2026-06-11 15:32:14","2026-06-11 23:32:14","0.447976396852916",""
"2026-06-11 15:32:29","2026-06-11 23:32:29","0.412499999999999",""
"2026-06-11 15:32:44","2026-06-11 23:32:44","0.516735564741963",""
"2026-06-11 15:32:59","2026-06-11 23:32:59","0.641623891740551",""
"2026-06-11 15:33:14","2026-06-11 23:33:14","0.583411121482865",""
"2026-06-11 15:33:29","2026-06-11 23:33:29","0.410416666666669",""
"2026-06-11 15:33:44","2026-06-11 23:33:44","0.514617641176077",""
"2026-06-11 15:33:59","2026-06-11 23:33:59","0.516666666666667",""
"2026-06-11 15:34:14","2026-06-11 23:34:14","0.510450696713114",""
"2026-06-11 15:34:29","2026-06-11 23:34:29","0.593789585972399",""
"2026-06-11 15:34:44","2026-06-11 23:34:44","0.539619307953861",""
"2026-06-11 15:34:59","2026-06-11 23:34:59","0.518750000000003",""
"2026-06-11 15:35:14","2026-06-11 23:35:14","0.468781252083473",""
"2026-06-11 15:35:29","2026-06-11 23:35:29","0.73125",""
"2026-06-11 15:35:44","2026-06-11 23:35:44","0.472948196546436",""
"2026-06-11 15:35:59","2026-06-11 23:35:59","0.627125141676109",""
"2026-06-11 15:36:14","2026-06-11 23:36:14","0.558407787705027",""
"2026-06-11 15:36:29","2026-06-11 23:36:29","0.427083333333331",""
"2026-06-11 15:36:44","2026-06-11 23:36:44","0.427111807453832",""
"2026-06-11 15:36:59","2026-06-11 23:36:59","0.504166666666666",""
"2026-06-11 15:37:14","2026-06-11 23:37:14","0.495866391092737",""
"2026-06-11 15:37:29","2026-06-11 23:37:29","0.485416666666669",""
"2026-06-11 15:37:44","2026-06-11 23:37:44","0.477115141009402",""
"2026-06-11 15:37:59","2026-06-11 23:37:59","0.443749999999998",""
"2026-06-11 15:38:14","2026-06-11 23:38:14","0.447946529768653",""
"2026-06-11 15:38:29","2026-06-11 23:38:29","0.493782918861261",""
"2026-06-11 15:38:44","2026-06-11 23:38:44","0.493782918861252",""
"2026-06-11 15:38:59","2026-06-11 23:38:59","0.431250000000001",""
"2026-06-11 15:39:14","2026-06-11 23:39:14","0.462561674889984",""
"2026-06-11 15:39:29","2026-06-11 23:39:29","0.397916666666668",""
"2026-06-11 15:39:44","2026-06-11 23:39:44","0.529201946796451",""
"2026-06-11 15:39:59","2026-06-11 23:39:59","0.622916666666673",""
"2026-06-11 15:40:14","2026-06-11 23:40:14","0.581327510334706",""
"2026-06-11 15:40:29","2026-06-11 23:40:29","0.562462502499838",""
"2026-06-11 15:40:44","2026-06-11 23:40:44","0.554240565408721",""
"2026-06-11 15:40:59","2026-06-11 23:40:59","0.462499999999997",""
"2026-06-11 15:41:14","2026-06-11 23:41:14","0.516735564741969",""
"2026-06-11 15:41:29","2026-06-11 23:41:29","0.660372641823872",""
"2026-06-11 15:41:44","2026-06-11 23:41:44","0.627166955594082",""
"2026-06-11 15:41:59","2026-06-11 23:41:59","0.437470835277649",""
"2026-06-11 15:42:14","2026-06-11 23:42:14","0.437558341112149",""
"2026-06-11 15:42:29","2026-06-11 23:42:29","0.437500000000002",""
"2026-06-11 15:42:44","2026-06-11 23:42:44","0.495899453260432",""
"2026-06-11 15:42:59","2026-06-11 23:42:59","0.59996000266649",""
"2026-06-11 15:43:14","2026-06-11 23:43:14","0.5876175235047",""
"2026-06-11 15:43:29","2026-06-11 23:43:29","0.339560695953604",""
"2026-06-11 15:43:44","2026-06-11 23:43:44","0.506283752250152",""
"2026-06-11 15:43:59","2026-06-11 23:43:59","0.408333333333334",""
"2026-06-11 15:44:14","2026-06-11 23:44:14","0.502150286704893",""
"2026-06-11 15:44:29","2026-06-11 23:44:29","0.554166666666664",""
"2026-06-11 15:44:44","2026-06-11 23:44:44","0.566704446963132",""
"2026-06-11 15:44:59","2026-06-11 23:44:59","0.462499999999999",""
"2026-06-11 15:45:14","2026-06-11 23:45:14","0.460447363157546",""
"2026-06-11 15:45:29","2026-06-11 23:45:29","0.368749999999998",""
"2026-06-11 15:45:44","2026-06-11 23:45:44","0.781302086805792",""
"2026-06-11 15:45:59","2026-06-11 23:45:59","0.652083333333332",""
"2026-06-11 15:46:14","2026-06-11 23:46:14","0.589661954927323",""
"2026-06-11 15:46:29","2026-06-11 23:46:29","0.441666666666665",""
"2026-06-11 15:46:44","2026-06-11 23:46:44","0.435445696379762",""
"2026-06-11 15:46:59","2026-06-11 23:46:59","0.497916666666663",""
"2026-06-11 15:47:14","2026-06-11 23:47:14","0.481314175223367",""
"2026-06-11 15:47:29","2026-06-11 23:47:29","0.645790280647956",""
"2026-06-11 15:47:44","2026-06-11 23:47:44","0.554240565408715",""
"2026-06-11 15:47:59","2026-06-11 23:47:59","0.447916666666669",""
"2026-06-11 15:48:14","2026-06-11 23:48:14","0.429195279685311",""
"2026-06-11 15:48:29","2026-06-11 23:48:29","0.483365557703849",""
"2026-06-11 15:48:44","2026-06-11 23:48:44","0.510450696713113",""
"2026-06-11 15:48:59","2026-06-11 23:48:59","0.6125",""
"2026-06-11 15:49:14","2026-06-11 23:49:14","0.556287085805721",""
"2026-06-11 15:49:29","2026-06-11 23:49:29","0.479166666666665",""
"2026-06-11 15:49:44","2026-06-11 23:49:44","0.393802507000933",""
"2026-06-11 15:49:59","2026-06-11 23:49:59","0.552083333333334",""
"2026-06-11 15:50:14","2026-06-11 23:50:14","0.49378291886126",""
"2026-06-11 15:50:29","2026-06-11 23:50:29","0.625000000000001",""
"2026-06-11 15:50:44","2026-06-11 23:50:44","0.91464430962064",""
"2026-06-11 15:50:59","2026-06-11 23:50:59","0.452113474231614",""
"2026-06-11 15:51:14","2026-06-11 23:51:14","0.443779585305688",""
"2026-06-11 15:51:29","2026-06-11 23:51:29","0.483333333333332",""
