epoch,train_loss,val_loss,train_f1,val_f1,train_precision,train_recall,val_precision,val_recall
1,0.5426936854918798,0.5029883662859599,0.7475273295158772,0.7467811158798282,0.7432712215320911,0.7518324607329843,0.7873303167420814,0.710204081632653
2,0.4522898624340693,0.457105561097463,0.7851002865329513,0.7720090293453725,0.8670886075949367,0.7172774869109948,0.8636363636363636,0.6979591836734694
3,0.4186291386683782,0.43760366837183634,0.8032596041909196,0.7678571428571429,0.9043250327653998,0.7225130890052356,0.8472906403940886,0.7020408163265306
4,0.38921614189942677,0.40187026659647623,0.8101415094339622,0.7908045977011493,0.9271255060728745,0.7193717277486911,0.9052631578947369,0.7020408163265306
5,0.3637973288695017,0.38265233437220253,0.821852731591449,0.8,0.9492455418381345,0.724607329842932,0.9297297297297298,0.7020408163265306
6,0.3414646049340566,0.36993167201677957,0.8320565704183854,0.7952380952380951,0.9514824797843666,0.7392670157068063,0.9542857142857143,0.6816326530612244
7,0.3271654029687246,0.3529501895109812,0.8276684555754323,0.7924528301886792,0.961218836565097,0.7267015706806282,0.9385474860335196,0.6857142857142857
8,0.3153021514415741,0.3610415796438853,0.8304784406379209,0.7960687960687961,0.9525745257452575,0.7361256544502618,1.0,0.6612244897959184
9,0.30664418985446296,0.3676341772079468,0.8371546149323928,0.7901234567901235,0.9544235924932976,0.7455497382198953,1.0,0.6530612244897959
10,0.2899355178078016,0.3271650016307831,0.8559573206876111,0.8442437923250564,0.9863387978142076,0.7560209424083769,0.9444444444444444,0.763265306122449
11,0.2749575138092041,0.31417028506596884,0.8642403235124205,0.849438202247191,0.9639175257731959,0.7832460732984293,0.945,0.7714285714285715
12,0.2690748537580172,0.30577296018600464,0.8624277456647398,0.8578088578088577,0.9625806451612903,0.7811518324607329,1.0,0.7510204081632653
13,0.25697123010953266,0.3113123387098312,0.8881317433276548,0.8399071925754061,0.9702233250620348,0.818848167539267,0.9731182795698925,0.7387755102040816
14,0.24864115665356318,0.3063346842924754,0.8933782267115601,0.8497652582159624,0.9625151148730351,0.8335078534031414,1.0,0.7387755102040816
15,0.2342109019557635,0.28307029406229656,0.8917700112739572,0.8838268792710706,0.9658119658119658,0.8282722513089005,1.0,0.7918367346938775
16,0.22110400398572286,0.27682644327481587,0.9068462401795735,0.8835164835164836,0.9770253929866989,0.8460732984293193,0.9571428571428572,0.8204081632653061
17,0.21754375795523326,0.299996676047643,0.9093922651933702,0.8524590163934427,0.9625730994152046,0.8617801047120419,1.0,0.7428571428571429
18,0.19827919180194536,0.25534910957018536,0.9185022026431718,0.9078947368421053,0.9686411149825784,0.8732984293193717,0.981042654028436,0.8448979591836735
19,0.19715314706166584,0.2588455637296041,0.9258849557522124,0.888402625820569,0.981242672919109,0.8764397905759163,0.9575471698113207,0.8285714285714286
20,0.18534015441934268,0.23873435656229655,0.9260273972602739,0.906318082788671,0.9712643678160919,0.8848167539267016,0.9719626168224299,0.8489795918367347
21,0.17477751870950062,0.21868738830089568,0.9399025446670277,0.9250535331905781,0.9730941704035875,0.9089005235602095,0.972972972972973,0.8816326530612245
22,0.16828884755571683,0.2093198964993159,0.9341963322545846,0.9227467811158797,0.9632925472747497,0.9068062827225131,0.9728506787330317,0.8775510204081632
23,0.1630138173699379,0.2283453697959582,0.9398373983739837,0.8908685968819599,0.9741573033707865,0.9078534031413612,0.9803921568627451,0.8163265306122449
24,0.1581804839273294,0.2061635931332906,0.9381778741865511,0.9075268817204302,0.9730033745781778,0.9057591623036649,0.9590909090909091,0.8612244897959184
25,0.1487776873012384,0.19745867153008778,0.9448648648648649,0.9204301075268817,0.976536312849162,0.9151832460732985,0.9727272727272728,0.8734693877551021
26,0.14476400737961134,0.18889772246281306,0.9523809523809524,0.9296375266524521,0.9854423292273237,0.9214659685863874,0.9732142857142857,0.889795918367347
27,0.14373107875386873,0.19011093576749166,0.9466307277628031,0.9183222958057395,0.9755555555555555,0.9193717277486911,1.0,0.8489795918367347
28,0.12902175386746725,0.1824665278196335,0.9579288025889967,0.9284164859002169,0.9877641824249166,0.9298429319371728,0.9907407407407407,0.8734693877551021
29,0.12875133355458576,0.18426524996757507,0.9478774852229983,0.9102844638949671,0.9735099337748344,0.9235602094240838,0.9811320754716981,0.8489795918367347
30,0.12333224527537823,0.16823027233282725,0.9573664328116568,0.9484978540772532,0.987750556792873,0.9287958115183246,1.0,0.9020408163265307
31,0.12100800027449926,0.15827587867776552,0.9573664328116568,0.9399141630901288,0.987750556792873,0.9287958115183246,0.9909502262443439,0.8938775510204081
32,0.11554858759045601,0.17736185838778815,0.9575497044599678,0.9462365591397849,0.9834437086092715,0.9329842931937172,1.0,0.8979591836734694
